식품명,총개수,유효개수,제거개수,대표행 필터통과
쿠키세트,4,1,3,FALSE
크림치즈빵,4,1,3,FALSE
킬바사,4,1,3,FALSE
통단무지,4,1,3,TRUE
페투치네,4,1,3,FALSE
플레인요거트,4,1,3,FALSE
피스타치오 티라미수,4,1,3,FALSE
피칸정과,4,1,3,FALSE
핫초코,4,1,3,FALSE
햄버거번,4,1,3,FALSE
햄야채볶음밥,4,1,3,FALSE
허니버터베이글칩,4,1,3,FALSE
허니브레드,4,1,3,FALSE
현미누룽지,4,1,3,FALSE
11찬도시락,3,0,3,FALSE
1일1레몬 유기농 레몬즙,3,0,3,FALSE
BLT샌드위치,3,0,3,FALSE
